Date,AAPL,SPY,TSLA
2022-01-03 16:00:00,182.01,477.71,399.93
2022-01-04 16:00:00,179.7,477.55,383.2
2022-01-05 16:00:00,174.92,468.38,362.71
2022-01-06 16:00:00,172.0,467.94,354.9
2022-01-07 16:00:00,172.17,466.09,342.32
2022-01-10 16:00:00,172.19,465.51,352.71
2022-01-11 16:00:00,175.08,469.75,354.8
2022-01-12 16:00:00,175.53,471.02,368.74
2022-01-13 16:00:00,172.19,464.53,343.85
2022-01-14 16:00:00,173.07,464.72,349.87
2022-01-18 16:00:00,169.8,456.49,343.5
2022-01-19 16:00:00,166.23,451.75,331.88
2022-01-20 16:00:00,164.51,446.75,332.09
2022-01-21 16:00:00,162.41,437.98,314.63
2022-01-24 16:00:00,161.62,439.84,310.0
2022-01-25 16:00:00,159.78,434.47,306.13
2022-01-26 16:00:00,159.69,433.38,312.47
2022-01-27 16:00:00,159.22,431.24,276.37
2022-01-28 16:00:00,170.33,441.95,282.12
2022-01-31 16:00:00,174.78,449.91,312.24
2022-02-01 16:00:00,174.61,452.95,310.42
2022-02-02 16:00:00,175.84,457.35,301.89
2022-02-03 16:00:00,172.9,446.6,297.05
2022-02-04 16:00:00,172.39,448.7,307.77
2022-02-07 16:00:00,171.66,447.26,302.45
2022-02-08 16:00:00,174.83,450.94,307.33
2022-02-09 16:00:00,176.28,457.54,310.67
2022-02-10 16:00:00,172.12,449.32,301.52
2022-02-11 16:00:00,168.64,440.46,286.67
2022-02-14 16:00:00,168.88,439.02,291.92
2022-02-15 16:00:00,172.79,446.1,307.48
2022-02-16 16:00:00,172.55,446.6,307.8
2022-02-17 16:00:00,168.88,437.06,292.12
2022-02-18 16:00:00,167.3,434.23,285.66
2022-02-22 16:00:00,164.32,429.57,273.84
2022-02-23 16:00:00,160.07,421.95,254.68
2022-02-24 16:00:00,162.74,428.3,266.92
2022-02-25 16:00:00,164.85,437.75,269.96
2022-02-28 16:00:00,165.12,436.63,290.14
2022-03-01 16:00:00,163.2,429.98,288.12
2022-03-02 16:00:00,166.56,437.89,293.3
2022-03-03 16:00:00,166.23,435.71,279.76
