Date,Price
2023-02-12,21814.39000000
2023-02-05,22932.91000000
2023-01-29,23742.30000000
2023-01-22,22707.88000000
2023-01-15,20871.50000000
2023-01-08,17127.83000000
2023-01-01,16616.75000000
2022-12-25,16832.11000000
2022-12-18,16738.21000000
2022-12-11,17085.05000000
2022-12-04,17105.70000000
2022-11-27,16428.78000000
2022-11-20,16280.23000000
2022-11-13,16329.85000000
2022-11-06,20905.58000000
2022-10-30,20627.48000000
2022-10-23,19570.40000000
2022-10-16,19262.98000000
2022-10-09,19439.02000000
2022-10-02,19056.80000000
2022-09-25,18807.38000000
2022-09-18,19416.18000000
2022-09-11,21826.87000000
2022-09-04,20000.30000000
2022-08-28,19555.61000000
2022-08-21,21515.61000000
2022-08-14,24305.24000000
2022-08-07,23174.39000000
2022-07-31,23293.32000000
2022-07-24,22579.68000000
2022-07-17,20798.16000000
2022-07-10,20862.47000000
2022-07-03,19315.83000000
2022-06-26,21038.07000000
2022-06-19,20574.00000000
2022-06-12,26574.53000000
2022-06-05,29919.21000000
2022-05-29,29468.10000000
2022-05-22,30293.94000000
2022-05-15,31328.89000000
2022-05-08,34038.40000000
2022-05-01,38468.35000000
2022-04-24,39450.13000000
2022-04-17,39678.12000000
2022-04-10,42158.85000000
2022-04-03,46407.35000000
2022-03-27,46827.76000000
2022-03-20,41262.11000000
2022-03-13,37777.34000000
2022-03-06,38420.81000000
2022-02-27,37699.07000000
2022-02-20,38386.89000000
2022-02-13,42053.66000000
2022-02-06,42380.87000000
2022-01-30,37881.76000000
2022-01-23,36244.55000000
2022-01-16,43071.66000000
2022-01-09,41864.62000000
2022-01-02,47286.18000000
2021-12-26,50775.49000000
2021-12-19,46681.23000000
2021-12-12,50053.90000000
2021-12-05,49396.33000000
2021-11-28,57274.88000000
2021-11-21,58622.02000000
2021-11-14,65519.10000000
2021-11-07,63273.59000000
2021-10-31,61299.80000000
2021-10-24,60852.22000000
2021-10-17,61528.33000000
2021-10-10,54659.00000000
2021-10-03,48200.01000000
2021-09-26,43160.90000000
2021-09-19,47241.75000000
2021-09-12,46025.24000000
2021-09-05,51756.88000000
2021-08-29,48767.83000000
2021-08-22,49239.22000000
2021-08-15,46973.82000000
2021-08-08,43794.37000000
2021-08-01,39845.44000000
2021-07-25,35381.02000000
2021-07-18,31778.56000000
2021-07-11,34258.99000000
2021-07-04,35286.51000000
2021-06-27,34700.34000000
2021-06-20,35600.16000000
2021-06-13,39020.57000000
2021-06-06,35796.31000000
2021-05-30,35641.27000000
2021-05-23,34655.25000000
2021-05-16,46431.50000000
2021-05-09,58240.84000000
2021-05-02,56578.21000000
2021-04-25,49066.77000000
2021-04-18,56150.01000000
2021-04-11,60002.43000000
2021-04-04,58202.01000000
2021-03-28,55777.63000000
2021-03-21,57351.56000000
2021-03-14,58968.31000000
2021-03-07,50971.75000000
2021-02-28,45135.66000000
2021-02-21,57408.57000000
2021-02-14,48577.79000000
2021-02-07,38795.69000000
2021-01-31,33092.98000000
2021-01-24,32259.90000000
2021-01-17,35828.61000000
2021-01-10,38150.02000000
2021-01-03,33000.05000000
2020-12-27,26281.66000000
2020-12-20,23455.52000000
2020-12-13,19174.99000000
2020-12-06,19359.40000000
2020-11-29,18184.99000000
2020-11-22,18414.43000000
2020-11-15,15957.00000000
2020-11-08,15475.10000000
2020-11-01,13761.50000000
2020-10-25,13028.83000000
2020-10-18,11503.14000000
2020-10-11,11369.02000000
2020-10-04,10666.63000000
2020-09-27,10774.25000000
2020-09-20,10920.28000000
2020-09-13,10332.83000000
2020-09-06,10256.20000000
2020-08-30,11711.16000000
2020-08-23,11648.13000000
2020-08-16,11911.00000000
2020-08-09,11681.68000000
2020-08-02,11071.35000000
2020-07-26,9931.54000000
2020-07-19,9208.99000000
2020-07-12,9302.75000000
2020-07-05,9069.41000000
2020-06-28,9116.35000000
2020-06-21,9294.69000000
2020-06-14,9342.10000000
2020-06-07,9746.99000000
2020-05-31,9448.27000000
